class	occurrences
action-beat	4
beat	295
bf-band	1
bf-item	4
bf-key	4
bf-source	1
bf-title	1
briefing-block	1
chapter-header	118
chapter-number	118
chapter-rule	118
chapter-title	118
chat-bubble	157
chat-clear	152
chat-container	72
chat-header	64
chat-meta	8
chat-name	152
chat-received	83
chat-sent	74
chat-sticker	11
comment-floor	21
comment-header	6
comment-item	21
comment-thread	6
contract-block	6
ct-clause	17
ct-figure	16
ct-header	6
ct-note	6
dg-field	18
dg-header	3
dg-label	18
dg-note	3
dg-value	18
dialogue-line	3600
dossier-block	3
fb-header	31
fb-label	138
fb-row	138
fb-value	138
finance-block	31
hand-note	2
highlight	60
highlight2	4
hn-label	2
lb-header	1
lb-note	1
lect-header	16
lect-q	36
lecture-block	16
location-stamp	216
ls-date	216
ls-place	216
ls-sub	216
lyric	2
lyric-block	1
mb-label	2
mb-voice	2
memory-block	2
nd-headline	3
nd-source	2
news-digest	2
notification	9
page-wrapper	118
pc-head	32
pc-me	102
pc-note	38
pc-them	123
performance-block	2
pf-header	2
phone-call	44
pullquote	47
scene-break	154
screen-view	2
self	69
sound-effect	74
sv-caption	1
sv-header	2
sv-line	1
sv-note	2
sv-scene	3
sys-ding	1
sys-header	22
sys-key	74
sys-line	74
sys-note	19
sys-value	74
system-block	22
thought	453
wardrobe-block	10
wd-caption	10
wd-effect	10
wd-header	10
wd-label	47
wd-note	10
wd-photo	10
wd-tag	10
